Strategy,Number of Trades,Number of Profitable Trades,Percent Change,Underlying Stock Growth,Final Portfolio Value,bb_period,bb_dev,sma_short_period,sma_long_period,atr_period,atr_multiplier,basic_stop_pct,ticker,start_date,end_date,timeframe,commission,principal
TestStrat1,0,0,4.146600094206314,76.62266226622663,10414.660009420631,20,2.0,100,200,14,2.0,0.025,AAPL,2020-01-01,2023-01-01,1D,0.0003,10000.0
TestStrat1,0,0,4.146600094206314,76.62266226622663,10414.660009420631,20,2.0,50,200,14,2.0,0.025,AAPL,2020-01-01,2023-01-01,1D,0.0003,10000.0
TestStrat1,0,0,15.413825451537305,80.64969765152583,11541.38254515373,20,2.0,50,200,14,2.0,0.025,AAPL,2020-01-01,2023-01-01,15min,0.0003,10000.0
TestStrat1,0,0,4.873140758547015,24.73215481451721,10487.314075854702,20,2.0,50,200,14,2.0,0.025,SPY,2020-01-01,2023-01-01,15min,0.0003,10000.0
TestStrat1,0,0,4.873140758547015,24.73215481451721,10487.314075854702,20,2.0,50,200,14,2.0,0.1,SPY,2020-01-01,2023-01-01,15min,0.0003,10000.0
TestStrat1,0,0,4.146600094206314,76.62266226622663,10414.660009420631,20,2.0,100,200,14,2.0,0.025,AAPL,2020-01-01,2023-01-01,1D,0.0003,10000.0,3
TestStrat1,0,0,15.413825451537305,80.64969765152583,11541.38254515373,20,2.0,100,200,14,2.0,0.025,AAPL,2020-01-01,2023-01-01,15min,0.0003,10000.0,3
TestStrat1,0,0,15.565248026589124,80.64969765152583,11556.524802658912,10,2.0,100,200,14,2.0,0.025,AAPL,2020-01-01,2023-01-01,15min,0.0003,10000.0,3
TestStrat1,0,0,15.565248026589124,80.64969765152583,11556.524802658912,10,2.0,100,200,14,2.0,0.25,AAPL,2020-01-01,2023-01-01,15min,0.0003,10000.0,3
TestStrat1,0,0,15.586188114697325,80.64969765152583,11558.618811469732,10,2.0,50,200,14,2.0,0.25,AAPL,2020-01-01,2023-01-01,15min,0.0003,10000.0,3
TestStrat1,0,0,15.910332733065516,82.29503585993531,11591.033273306552,10,2.0,50,200,14,2.0,0.25,AAPL,2020-01-01,2021-01-01,15min,0.0003,10000.0,3
TestStrat1,0,0,3.688485843401268,78.23157315731575,10368.848584340127,10,2.0,50,200,14,2.0,0.25,AAPL,2020-01-01,2021-01-01,1D,0.0003,10000.0,3
TestStrat1,0,0,9.07899347128472,78.23157315731575,10907.899347128472,10,2.0,10,100,14,2.0,0.25,AAPL,2020-01-01,2021-01-01,1D,0.0003,10000.0,3
TestStrat1,0,0,15.99955472222222,82.29503585993531,11599.955472222222,10,2.0,10,100,14,2.0,0.25,AAPL,2020-01-01,2021-01-01,15min,0.0003,10000.0,3
TestStrat1,0,0,15.912536990856188,82.32067510548524,11591.253699085619,10,2.0,10,100,14,2.0,0.25,AAPL,2020-01-01,2021-01-01,5min,0.0003,10000.0,3
TestStrat1,0,0,9.07899347128472,78.23157315731575,10907.899347128472,10,2.0,10,100,14,2.0,0.25,AAPL,2020-01-01,2021-01-01,1D,0.0003,10000.0,3
